epoch,train_loss,train_nmse_db,val_loss,val_nmse_db,lr,elapsed_s
1,1.72402162,2.3654,0.98208480,-0.0785,0.00100000,36.2
2,0.91757770,-0.3736,0.88326988,-0.5391,0.00100000,70.7
3,0.82517620,-0.8345,0.78754699,-1.0372,0.00100000,104.8
4,0.72832152,-1.3768,0.68880946,-1.6190,0.00100000,139.0
5,0.63972541,-1.9401,0.58983632,-2.2927,0.00100000,172.8
6,0.51442900,-2.8867,0.46304922,-3.3437,0.00100000,207.0
7,0.39000283,-4.0893,0.35128934,-4.5434,0.00100000,240.5
8,0.31446346,-5.0243,0.29023747,-5.3725,0.00100000,275.3
9,0.26362168,-5.7902,0.25515473,-5.9320,0.00100000,309.3
10,0.22166750,-6.5430,0.21931771,-6.5893,0.00100000,343.6
11,0.18858898,-7.2448,0.21644922,-6.6464,0.00100000,378.3
12,0.16499920,-7.8252,0.21760197,-6.6234,0.00100000,412.2
13,0.14752721,-8.3113,0.14712950,-8.3230,0.00100000,446.1
14,0.13483629,-8.7019,0.13225563,-8.7859,0.00100000,480.0
15,0.12533880,-9.0191,0.15245992,-8.1684,0.00100000,514.0
16,0.11742715,-9.3023,0.12230625,-9.1255,0.00100000,548.0
17,0.11187150,-9.5128,0.11250662,-9.4882,0.00100000,581.9
18,0.10586497,-9.7525,0.10370596,-9.8420,0.00100000,616.2
19,0.10116032,-9.9499,0.10368879,-9.8427,0.00100000,651.5
20,0.09774288,-10.0991,0.09807338,-10.0845,0.00100000,685.4
21,0.09426633,-10.2564,0.11968196,-9.2197,0.00100000,719.3
22,0.09180228,-10.3715,0.09695278,-10.1344,0.00100000,753.1
23,0.08878987,-10.5164,0.09619816,-10.1683,0.00100000,787.3
24,0.08694294,-10.6077,0.09343155,-10.2951,0.00100000,821.1
25,0.08470165,-10.7211,0.09270259,-10.3291,0.00100000,855.8
26,0.08340269,-10.7882,0.08750171,-10.5798,0.00100000,889.9
27,0.08183864,-10.8704,0.08262632,-10.8288,0.00100000,925.0
28,0.07988896,-10.9751,0.08705769,-10.6019,0.00100000,959.1
29,0.07918349,-11.0137,0.08663531,-10.6231,0.00100000,993.2
30,0.07786458,-11.0866,0.07866898,-11.0420,0.00100000,1027.3
31,0.07654011,-11.1611,0.08470522,-10.7209,0.00100000,1061.3
32,0.07557304,-11.2163,0.07789489,-11.0849,0.00100000,1095.2
33,0.07442102,-11.2830,0.08236049,-10.8428,0.00100000,1129.2
34,0.07417624,-11.2974,0.08334269,-10.7913,0.00100000,1163.0
35,0.07297099,-11.3685,0.07452873,-11.2768,0.00100000,1197.2
36,0.07226676,-11.4106,0.07973364,-10.9836,0.00100000,1232.3
37,0.07160706,-11.4504,0.07383726,-11.3172,0.00100000,1267.3
38,0.07073617,-11.5036,0.07566588,-11.2110,0.00100000,1301.6
39,0.06997586,-11.5505,0.07754601,-11.1044,0.00100000,1335.9
40,0.06914382,-11.6025,0.07172707,-11.4432,0.00100000,1369.8
41,0.06878207,-11.6252,0.07613015,-11.1844,0.00100000,1403.8
42,0.06754927,-11.7038,0.08180791,-10.8720,0.00100000,1438.3
43,0.06758952,-11.7012,0.07059107,-11.5125,0.00100000,1472.2
44,0.06666113,-11.7613,0.07037329,-11.5259,0.00100000,1506.8
45,0.06636449,-11.7806,0.07100597,-11.4871,0.00100000,1540.8
46,0.06554352,-11.8347,0.07377734,-11.3208,0.00100000,1575.3
47,0.06515053,-11.8608,0.07546190,-11.2227,0.00100000,1608.9
48,0.06459159,-11.8982,0.07035687,-11.5269,0.00100000,1643.1
49,0.06401395,-11.9373,0.06845210,-11.6461,0.00100000,1676.8
50,0.06353205,-11.9701,0.06505619,-11.8671,0.00100000,1710.8
51,0.06331130,-11.9852,0.06903741,-11.6092,0.00100000,1744.5
52,0.06233339,-12.0528,0.06429538,-11.9182,0.00100000,1778.8
53,0.06235636,-12.0512,0.07551526,-11.2197,0.00100000,1813.3
54,0.06169471,-12.0975,0.07257938,-11.3919,0.00100000,1848.9
55,0.06150295,-12.1110,0.07569647,-11.2092,0.00100000,1882.7
56,0.06123471,-12.1300,0.06636832,-11.7804,0.00050000,1916.8
57,0.05677473,-12.4584,0.05895716,-12.2946,0.00050000,1950.6
58,0.05653852,-12.4766,0.05841645,-12.3346,0.00050000,1984.6
59,0.05615596,-12.5060,0.05960193,-12.2474,0.00050000,2019.1
60,0.05606855,-12.5128,0.06021060,-12.2033,0.00050000,2053.1
