epoch,train_loss,train_nmse_db,val_loss,val_nmse_db,lr,elapsed_s
1,1.67694165,2.2452,1.24674728,0.9578,0.00100000,45.1
2,0.90533949,-0.4319,0.86048714,-0.6526,0.00100000,91.9
3,0.80720521,-0.9302,0.81510358,-0.8879,0.00100000,133.1
4,0.72608056,-1.3902,0.70712348,-1.5050,0.00100000,177.7
5,0.65669456,-1.8264,0.91707099,-0.3760,0.00100000,222.2
6,0.57603464,-2.3955,0.53028985,-2.7549,0.00100000,263.8
7,0.44934622,-3.4742,0.46625959,-3.3137,0.00100000,305.8
8,0.33050938,-4.8082,0.32901699,-4.8278,0.00100000,348.3
9,0.26926054,-5.6983,0.30611494,-5.1412,0.00100000,389.3
10,0.22715027,-6.4369,0.23888900,-6.2180,0.00100000,428.2
11,0.19374877,-7.1276,0.23659442,-6.2600,0.00100000,467.3
12,0.16505555,-7.8237,0.37835263,-4.2210,0.00100000,506.5
13,0.13668833,-8.6427,0.12706245,-8.9598,0.00100000,545.3
14,0.11569082,-9.3670,0.20306715,-6.9236,0.00100000,584.3
15,0.10365701,-9.8440,0.12955551,-8.8754,0.00100000,624.0
16,0.09528150,-10.2099,0.09398933,-10.2692,0.00100000,665.2
17,0.08879989,-10.5159,0.09090096,-10.4143,0.00100000,704.4
18,0.08425624,-10.7440,0.09456836,-10.2425,0.00100000,743.5
19,0.08034346,-10.9505,0.08210705,-10.8562,0.00100000,783.3
20,0.07691176,-11.1401,0.07586591,-11.1995,0.00100000,822.3
21,0.07313102,-11.3590,0.07451442,-11.2776,0.00100000,861.8
22,0.07046529,-11.5202,0.07176685,-11.4408,0.00100000,901.0
23,0.06774723,-11.6911,0.14852232,-8.2821,0.00100000,940.4
24,0.06459797,-11.8978,0.06883796,-11.6217,0.00100000,980.4
25,0.06324807,-11.9895,0.19371788,-7.1283,0.00100000,1019.8
26,0.06010405,-12.2110,0.06359753,-11.9656,0.00100000,1061.8
27,0.05873354,-12.3111,0.06062616,-12.1734,0.00100000,1101.2
28,0.05599210,-12.5187,0.06241942,-12.0468,0.00100000,1140.4
29,0.05409172,-12.6687,0.05883017,-12.3040,0.00100000,1180.1
30,0.05231394,-12.8138,0.11606358,-9.3530,0.00100000,1219.5
31,0.05160553,-12.8730,0.05647292,-12.4816,0.00100000,1259.9
32,0.04960329,-13.0449,0.05206659,-12.8344,0.00100000,1299.5
33,0.04797790,-13.1896,0.07063264,-11.5099,0.00100000,1338.6
34,0.04674365,-13.3028,0.09660956,-10.1498,0.00100000,1378.0
35,0.04671314,-13.3056,0.05555535,-12.5527,0.00100000,1417.2
36,0.04555479,-13.4147,0.05243818,-12.8035,0.00050000,1456.4
37,0.03880004,-14.1117,0.04240995,-13.7253,0.00050000,1496.0
38,0.03830970,-14.1669,0.03941617,-14.0433,0.00050000,1535.5
39,0.03804760,-14.1967,0.03902942,-14.0861,0.00050000,1575.6
40,0.03743559,-14.2672,0.03947116,-14.0372,0.00050000,1614.8
41,0.03718418,-14.2964,0.04047691,-13.9279,0.00050000,1654.2
42,0.03656398,-14.3695,0.04253520,-13.7125,0.00050000,1694.0
43,0.03635457,-14.3944,0.04035670,-13.9408,0.00025000,1733.4
44,0.03352411,-14.7464,0.03643655,-14.3846,0.00025000,1772.7
45,0.03322980,-14.7847,0.03431877,-14.6447,0.00025000,1812.0
46,0.03298154,-14.8173,0.03421894,-14.6573,0.00025000,1852.4
47,0.03273620,-14.8497,0.04422863,-13.5430,0.00025000,1891.8
48,0.03262794,-14.8641,0.03407897,-14.6751,0.00025000,1930.7
49,0.03234788,-14.9015,0.03493838,-14.5670,0.00025000,1970.2
50,0.03205216,-14.9414,0.03433646,-14.6424,0.00025000,2009.6
51,0.03201845,-14.9460,0.03385817,-14.7034,0.00025000,2049.4
52,0.03178262,-14.9781,0.03652127,-14.3745,0.00025000,2089.2
53,0.03156321,-15.0082,0.03399591,-14.6857,0.00025000,2129.7
54,0.03138164,-15.0332,0.03228649,-14.9098,0.00025000,2169.8
55,0.03126855,-15.0489,0.03219713,-14.9218,0.00025000,2209.6
56,0.03119097,-15.0597,0.03529267,-14.5232,0.00025000,2249.4
57,0.03081719,-15.1121,0.03520087,-14.5345,0.00025000,2289.2
58,0.03083600,-15.1094,0.03285185,-14.8344,0.00025000,2328.8
59,0.03072204,-15.1255,0.03177468,-14.9792,0.00025000,2368.4
60,0.03037351,-15.1750,0.03103841,-15.0810,0.00025000,2408.1
