epoch,train_loss,train_nmse_db,val_loss,val_nmse_db,lr,elapsed_s
77,0.00002635,-11.5870,0.00006622,-8.4921,0.00000781,424.6
78,0.00002673,-11.5402,0.00006614,-8.4916,0.00000781,430.1
79,0.00002595,-11.6540,0.00006627,-8.4996,0.00000391,435.4
80,0.00002617,-11.6420,0.00006640,-8.4820,0.00000391,440.8
81,0.00002561,-11.6969,0.00006638,-8.4879,0.00000391,446.1
82,0.00002540,-11.7393,0.00006629,-8.4985,0.00000391,451.6
83,0.00002606,-11.6550,0.00006632,-8.4972,0.00000195,457.0
84,0.00002559,-11.7304,0.00006644,-8.4818,0.00000195,462.3
85,0.00002559,-11.7238,0.00006624,-8.5064,0.00000195,468.1
86,0.00002565,-11.7223,0.00006682,-8.4520,0.00000195,473.4
87,0.00002536,-11.7592,0.00006690,-8.4580,0.00000098,478.9
88,0.00002537,-11.7541,0.00006646,-8.4996,0.00000098,484.2
89,0.00002621,-11.6576,0.00006679,-8.4573,0.00000098,489.6
90,0.00002539,-11.7554,0.00006665,-8.4754,0.00000098,494.9
