method,compression_ratio,latent_dim,scalar_reduction_percent,nmse_db_mean,nmse_db_std,nmse_db_aggregate,cosine_similarity_rho,beamforming_gain_mean,beamforming_gain_std,beamforming_loss_db,spectral_efficiency_bps_hz,nmse_db_p5,nmse_db_median,nmse_db_p95,nmse_db_worst,encoder_ms_ue,decoder_ms_gnb,inference_ms,encoder_params,decoder_params
DeepCSI,4,512,75.0,-12.7294,3.4635,-11.218,0.965,0.9331,0.0748,-0.3006,3.3641,-17.9466,-12.9897,-6.7701,-0.3748,0.7284,2.0902,0.3398,1049406.0,1053986.0
DeepCSI,16,128,93.75,-9.7025,3.2225,-8.483,0.9298,0.8699,0.1156,-0.6052,3.2628,-14.9814,-9.681,-4.1417,0.0409,0.6405,2.0549,0.3723,262590.0,267554.0
DeepCSI,32,64,96.88,-6.1287,2.7089,-5.3146,0.8459,0.7329,0.1749,-1.3495,3.0059,-10.7582,-5.9873,-1.8275,0.984,0.4299,1.4237,0.317,131454.0,136482.0
DCT Baseline,4,512,75.0,-11.12,1.41,-10.92,0.9589,0.9197,0.0223,-0.36,3.3497,-13.8331,-10.8159,-9.5506,-7.667,,,0.654,,
DCT Baseline,16,128,93.75,-4.12,0.75,-4.06,0.783,0.6148,0.0651,-2.11,2.8318,-5.5077,-3.9426,-3.2627,-2.3076,,,0.661,,
DCT Baseline,32,64,96.88,-2.48,0.5,-2.46,0.6646,0.4441,0.0666,-3.52,2.4335,-3.3937,-2.3859,-1.8847,-1.2829,,,0.579,,
