epoch,train_loss,train_nmse_db,val_loss,val_nmse_db,lr,elapsed_s
1,0.00169203,7.3941,0.00063026,0.9440,0.00100000,6.2
2,0.00060826,0.6198,0.00059102,0.4159,0.00100000,12.8
3,0.00059033,0.3645,0.00057782,0.2368,0.00100000,20.1
4,0.00057914,0.2293,0.00057123,0.2187,0.00100000,26.6
5,0.00056634,0.1376,0.00056460,0.2667,0.00100000,33.1
6,0.00054828,0.0334,0.00053855,0.0454,0.00100000,39.5
7,0.00052140,-0.1557,0.00050740,-0.1985,0.00100000,45.8
8,0.00049216,-0.3819,0.00048049,-0.4486,0.00100000,52.2
9,0.00046680,-0.6296,0.00045894,-0.6709,0.00100000,59.1
10,0.00045060,-0.7886,0.00044201,-0.8524,0.00100000,65.4
11,0.00043313,-0.9701,0.00044711,-0.6255,0.00100000,72.0
12,0.00041532,-1.1497,0.00040512,-1.2113,0.00100000,78.6
13,0.00039789,-1.3295,0.00039564,-1.2192,0.00100000,85.1
14,0.00038069,-1.5261,0.00039528,-1.1727,0.00100000,91.6
15,0.00036815,-1.6821,0.00036882,-1.5905,0.00100000,98.1
16,0.00035933,-1.7883,0.00037081,-1.5145,0.00100000,104.5
17,0.00035440,-1.8304,0.00035037,-1.8389,0.00100000,111.0
18,0.00034585,-1.9579,0.00034570,-1.9034,0.00100000,117.8
19,0.00033958,-2.0313,0.00034173,-1.9275,0.00100000,124.3
20,0.00033286,-2.0832,0.00032316,-2.2116,0.00100000,130.9
21,0.00031792,-2.2740,0.00032293,-2.1131,0.00100000,137.3
22,0.00030215,-2.4504,0.00030314,-2.3460,0.00100000,143.9
23,0.00028568,-2.6510,0.00028258,-2.6973,0.00100000,150.5
24,0.00026821,-2.8881,0.00027057,-2.7163,0.00100000,156.8
25,0.00025046,-3.1381,0.00025623,-3.0317,0.00100000,163.3
26,0.00022828,-3.4419,0.00026074,-2.7528,0.00100000,169.8
27,0.00020334,-3.9064,0.00019582,-4.0316,0.00100000,176.3
28,0.00017826,-4.4023,0.00035437,-0.6098,0.00100000,183.0
29,0.00016401,-4.7468,0.00017095,-4.4997,0.00100000,189.7
30,0.00015532,-4.9539,0.00043742,0.7448,0.00100000,196.0
31,0.00014964,-5.0606,0.00058249,2.5333,0.00100000,202.6
32,0.00014186,-5.2927,0.00015672,-4.9836,0.00100000,209.2
33,0.00013778,-5.4047,0.00015560,-4.9349,0.00100000,215.6
34,0.00013528,-5.4900,0.00015102,-4.9512,0.00100000,222.1
35,0.00013235,-5.5752,0.00017329,-4.2789,0.00100000,228.7
36,0.00013064,-5.6147,0.00013628,-5.4925,0.00100000,235.1
37,0.00012513,-5.8122,0.00013323,-5.4058,0.00100000,241.9
38,0.00012059,-5.9462,0.00014546,-5.0118,0.00100000,248.5
39,0.00012015,-5.9597,0.00027651,-1.3183,0.00100000,254.9
40,0.00012186,-5.9499,0.00015056,-4.7825,0.00050000,261.5
41,0.00008768,-7.0646,0.00016786,-3.4169,0.00050000,268.1
42,0.00007981,-7.4615,0.00010554,-6.3711,0.00050000,274.7
43,0.00008438,-7.3131,0.00018687,-3.1623,0.00050000,281.3
44,0.00009057,-7.0845,0.00010331,-6.5914,0.00050000,287.9
45,0.00008227,-7.4678,0.00009857,-6.6674,0.00050000,294.3
46,0.00008113,-7.5307,0.00009655,-6.9602,0.00050000,301.5
47,0.00008282,-7.4436,0.00013777,-5.0437,0.00050000,308.2
48,0.00008206,-7.5310,0.00009612,-6.8999,0.00050000,314.6
49,0.00007922,-7.6431,0.00010104,-6.6107,0.00050000,321.5
50,0.00007811,-7.7110,0.00010291,-6.3832,0.00025000,328.0
51,0.00006126,-8.6398,0.00006458,-8.5869,0.00025000,334.5
52,0.00005035,-9.3681,0.00006779,-8.4373,0.00025000,341.3
53,0.00005075,-9.4149,0.00007331,-8.0799,0.00025000,347.7
54,0.00005581,-9.1037,0.00008043,-7.8207,0.00025000,354.2
55,0.00005707,-9.0721,0.00007327,-8.0930,0.00012500,361.1
56,0.00004552,-9.9649,0.00005392,-9.6708,0.00012500,367.7
57,0.00003702,-10.7670,0.00005398,-9.6138,0.00012500,374.2
58,0.00003552,-10.9841,0.00005626,-9.3998,0.00012500,380.9
59,0.00003607,-10.9917,0.00005492,-9.7181,0.00012500,387.6
60,0.00003699,-10.9709,0.00005522,-9.5761,0.00012500,394.2
61,0.00003869,-10.8536,0.00006023,-9.2510,0.00012500,400.9
62,0.00003940,-10.8494,0.00005755,-9.5104,0.00012500,407.6
63,0.00003851,-10.9517,0.00005666,-9.6059,0.00006250,414.1
64,0.00003217,-11.7853,0.00004666,-10.5804,0.00006250,420.9
65,0.00002710,-12.4662,0.00004620,-10.6162,0.00006250,427.4
66,0.00002545,-12.7361,0.00004650,-10.6420,0.00006250,434.1
67,0.00002447,-12.9278,0.00004847,-10.2895,0.00006250,440.7
68,0.00002541,-12.7892,0.00004575,-10.7641,0.00006250,447.2
69,0.00002545,-12.8455,0.00004653,-10.6205,0.00006250,453.8
70,0.00002595,-12.7700,0.00004975,-10.2491,0.00006250,460.3
71,0.00002612,-12.7990,0.00004748,-10.6148,0.00006250,466.8
72,0.00002650,-12.7605,0.00004850,-10.4059,0.00003125,473.5
73,0.00002353,-13.3383,0.00004288,-11.1858,0.00003125,480.5
74,0.00001978,-14.0074,0.00004402,-10.9887,0.00003125,487.0
75,0.00001963,-14.0237,0.00004271,-11.1744,0.00003125,494.0
76,0.00001897,-14.1994,0.00004223,-11.2323,0.00003125,500.6
77,0.00001889,-14.2220,0.00004380,-10.9417,0.00003125,507.1
78,0.00001846,-14.3247,0.00004281,-11.1485,0.00003125,513.6
79,0.00001977,-14.0286,0.00004449,-10.9420,0.00003125,520.2
80,0.00001886,-14.2728,0.00004295,-11.1295,0.00001563,526.7
81,0.00001810,-14.4860,0.00004143,-11.3388,0.00001563,533.3
82,0.00001706,-14.7089,0.00004161,-11.3208,0.00001563,540.7
83,0.00001688,-14.7312,0.00004203,-11.2307,0.00001563,547.3
84,0.00001643,-14.8549,0.00004151,-11.3561,0.00001563,553.8
85,0.00001627,-14.9084,0.00004227,-11.2517,0.00001563,560.6
86,0.00001636,-14.8636,0.00004222,-11.2505,0.00001563,567.0
87,0.00001624,-14.9494,0.00004224,-11.2492,0.00001563,573.6
88,0.00001602,-14.9919,0.00004152,-11.3610,0.00001563,580.4
89,0.00001589,-15.0258,0.00004200,-11.2801,0.00001563,587.0
90,0.00001592,-15.0334,0.00004169,-11.3258,0.00001563,593.6
