epoch,train_loss,train_nmse_db,val_loss,val_nmse_db,lr,elapsed_s
1,0.00107871,4.9325,0.00056550,0.1093,0.00100000,28.4
2,0.00057631,0.0668,0.00055815,0.0302,0.00100000,56.6
3,0.00052300,-0.2923,0.00047299,-0.5893,0.00100000,84.4
4,0.00041994,-1.1339,0.00035663,-1.6046,0.00100000,112.2
5,0.00031683,-2.2372,0.00029049,-2.3273,0.00100000,140.2
6,0.00025286,-3.0857,0.00024620,-2.8735,0.00100000,169.4
7,0.00021591,-3.7151,0.00022332,-3.2638,0.00100000,197.9
8,0.00018789,-4.2860,0.00018941,-3.8126,0.00100000,226.2
9,0.00016375,-4.8062,0.00015831,-4.7993,0.00100000,254.3
10,0.00015159,-5.0985,0.00014821,-5.0480,0.00100000,282.4
11,0.00014515,-5.2624,0.00014824,-5.0669,0.00100000,311.2
12,0.00014048,-5.3903,0.00015074,-4.8421,0.00100000,339.8
13,0.00013734,-5.4748,0.00013965,-5.3315,0.00100000,367.8
14,0.00013433,-5.5608,0.00014102,-5.2044,0.00100000,396.1
15,0.00013285,-5.6108,0.00014370,-4.9866,0.00100000,424.4
16,0.00013117,-5.6614,0.00013924,-5.2271,0.00100000,453.6
17,0.00012860,-5.7399,0.00015749,-4.4091,0.00050000,481.9
18,0.00011057,-6.2887,0.00011884,-6.0341,0.00050000,509.8
19,0.00010995,-6.3354,0.00011560,-6.1358,0.00050000,538.2
20,0.00011005,-6.3474,0.00012144,-5.7642,0.00050000,566.3
21,0.00010832,-6.4161,0.00011442,-6.1568,0.00050000,594.8
22,0.00010750,-6.4479,0.00011425,-6.2414,0.00050000,622.6
23,0.00010643,-6.4896,0.00011395,-6.2054,0.00050000,650.7
24,0.00010496,-6.5412,0.00011176,-6.3195,0.00050000,678.5
25,0.00010506,-6.5424,0.00011721,-6.0435,0.00050000,706.6
26,0.00010404,-6.5755,0.00011061,-6.3261,0.00050000,734.5
27,0.00010343,-6.6084,0.00014480,-4.7102,0.00050000,765.7
28,0.00010232,-6.6475,0.00011294,-6.1112,0.00050000,795.8
29,0.00010244,-6.6385,0.00012812,-5.4541,0.00050000,823.7
30,0.00010256,-6.6443,0.00010845,-6.4602,0.00050000,852.0
31,0.00010124,-6.6884,0.00013114,-5.3730,0.00050000,879.9
32,0.00010112,-6.6949,0.00010869,-6.4014,0.00050000,907.9
33,0.00010047,-6.7169,0.00010864,-6.4097,0.00050000,936.0
34,0.00010022,-6.7351,0.00010526,-6.5750,0.00050000,963.9
35,0.00009913,-6.7810,0.00010778,-6.4755,0.00050000,992.2
36,0.00009979,-6.7633,0.00011220,-6.0909,0.00050000,1020.1
37,0.00009940,-6.7749,0.00010661,-6.5189,0.00050000,1048.5
38,0.00009804,-6.8288,0.00010818,-6.3516,0.00025000,1076.7
39,0.00008588,-7.2903,0.00009512,-6.9574,0.00025000,1104.7
40,0.00008420,-7.3692,0.00009711,-6.8891,0.00025000,1133.0
41,0.00008431,-7.3729,0.00009847,-6.8208,0.00025000,1160.8
42,0.00008459,-7.3699,0.00009653,-6.9518,0.00025000,1189.7
43,0.00008447,-7.3889,0.00010485,-6.4222,0.00012500,1217.5
44,0.00007582,-7.7499,0.00009070,-7.2586,0.00012500,1246.4
45,0.00007354,-7.8608,0.00009091,-7.2747,0.00012500,1274.1
46,0.00007339,-7.8763,0.00009154,-7.2194,0.00012500,1302.0
47,0.00007339,-7.8847,0.00009294,-7.1398,0.00012500,1330.6
48,0.00007272,-7.9180,0.00009142,-7.2680,0.00012500,1360.6
49,0.00007281,-7.9159,0.00009345,-7.1482,0.00006250,1389.1
50,0.00006788,-8.1532,0.00008814,-7.4146,0.00006250,1417.1
51,0.00006597,-8.2426,0.00008966,-7.3216,0.00006250,1445.2
52,0.00006583,-8.2622,0.00008976,-7.3451,0.00006250,1473.1
53,0.00006581,-8.2590,0.00008954,-7.3761,0.00006250,1501.2
54,0.00006549,-8.2769,0.00008971,-7.3538,0.00003125,1529.5
55,0.00006261,-8.4270,0.00008817,-7.4525,0.00003125,1557.4
56,0.00006187,-8.4665,0.00008824,-7.4478,0.00003125,1585.6
57,0.00006141,-8.4917,0.00008891,-7.4268,0.00003125,1613.4
58,0.00006133,-8.4964,0.00008866,-7.4393,0.00003125,1641.6
59,0.00006112,-8.5104,0.00008890,-7.4278,0.00001563,1670.3
60,0.00005953,-8.5942,0.00008872,-7.4366,0.00001563,1698.6
